timestamp,num,Union Berlin,Draw,Wolfsburg,Union Berlin (decimal),Draw (decimal),Wolfsburg (decimal),total_probability,minimum_return_1000_GBP
1743959218.2970774,0,1/4,9/2,40/1,0.8,0.18181818181818182,0.024390243902439025,1.006208425720621,993.82
1743959248.7578645,1,1/4,9/2,40/1,0.8,0.18181818181818182,0.024390243902439025,1.006208425720621,993.82
1743959279.3950288,2,1/4,19/4,40/1,0.8,0.17391304347826086,0.024390243902439025,0.9983032873807,1001.63
1743959310.663527,3,1/4,19/4,45/1,0.8,0.17391304347826086,0.021739130434782608,0.9956521739130435,1004.18
1743959340.9176126,4,1/4,5/1,45/1,0.8,0.16666666666666666,0.021739130434782608,0.9884057971014493,1011.54
1743959371.7663836,5,1/4,27/5,55/1,0.8,0.15625,0.017857142857142856,0.974107142857143,1026.48
1743959402.2303743,6,1/4,27/5,55/1,0.8,0.15625,0.017857142857142856,0.974107142857143,1026.48
1743959432.0161538,7,2/9,5/1,50/1,0.8181818181818182,0.16666666666666666,0.0196078431372549,1.0044563279857397,995.52
1743959463.8391974,8,2/9,21/4,50/1,0.8181818181818182,0.16,0.0196078431372549,0.9977896613190732,1002.15
1743959495.097668,9,2/9,21/4,50/1,0.8181818181818182,0.16,0.0196078431372549,0.9977896613190732,1002.15
1743959525.9411092,10,2/9,11/2,66/1,0.8181818181818182,0.15384615384615385,0.014925373134328358,0.9869533451623005,1013.04
1743959557.158561,11,2/9,11/2,80/1,0.8181818181818182,0.15384615384615385,0.012345679012345678,0.9843736510403178,1015.74
1743959588.185346,12,1/5,11/2,80/1,0.8333333333333334,0.15384615384615385,0.012345679012345678,0.999525166191833,1000.35
1743959620.602584,13,1/5,23/4,50/1,0.8333333333333334,0.14814814814814814,0.0196078431372549,1.0010893246187365,998.92
1743959652.2241745,14,1/5,6/1,55/1,0.8333333333333334,0.14285714285714285,0.017857142857142856,0.9940476190476192,1005.76
1743959741.520322,15,2/11,13/2,80/1,0.8461538461538461,0.13333333333333333,0.012345679012345678,0.9918328584995251,1008.23
1743959772.860134,16,2/11,7/1,100/1,0.8461538461538461,0.125,0.009900990099009901,0.981054836252856,1019.09
1743959805.1294084,17,1/6,7/1,100/1,0.8571428571428571,0.125,0.009900990099009901,0.992043847241867,1007.98
1743959835.307026,18,1/6,15/2,150/1,0.8571428571428571,0.11764705882352941,0.006622516556291391,0.981412432522678,1018.94
1743959866.1186764,19,1/7,8/1,125/1,0.875,0.1111111111111111,0.007936507936507936,0.9940476190476191,1005.48
1743959897.048993,20,1/7,17/2,150/1,0.875,0.10526315789473684,0.006622516556291391,0.9868856744510283,1013.21
1743959927.680076,21,1/7,9/1,175/1,0.875,0.1,0.005681818181818182,0.9806818181818182,1019.04
1743959960.1519785,22,1/7,10/1,175/1,0.875,0.09090909090909091,0.005681818181818182,0.9715909090909092,1029.23
1743959992.428048,23,1/7,10/1,250/1,0.875,0.09090909090909091,0.00398406374501992,0.9698931546541109,1031.03
1743960026.9839947,24,1/8,12/1,500/1,0.8888888888888888,0.07692307692307693,0.001996007984031936,0.9678079737959977,1032.06
1743960057.9657657,25,1/14,14/1,500/1,0.9333333333333333,0.06666666666666667,0.001996007984031936,1.001996007984032,996.99
1743960090.62858,26,1/8,16/1,500/1,0.8888888888888888,0.058823529411764705,0.001996007984031936,0.9497084262846855,1052.1
1743960121.9457755,27,1/9,16/1,500/1,0.9,0.058823529411764705,0.001996007984031936,0.9608195373957967,1040.74
1743960155.4610834,28,1/10,20/1,750/1,0.9090909090909091,0.047619047619047616,0.0013315579227696406,0.9580415146327262,1043.7
1743960186.5197806,29,1/11,25/1,750/1,0.9166666666666666,0.038461538461538464,0.0013315579227696406,0.9564597630509747,1043.89
1743960217.593968,30,1/12,45/1,750/1,0.9230769230769231,0.021739130434782608,0.0013315579227696406,0.9461476114344753,1056.92
1743960247.5556464,31,1/14,60/1,750/1,0.9333333333333333,0.01639344262295082,0.0013315579227696406,0.9510583338790538,1051.4
1743960277.3790274,32,1/16,66/1,500/1,0.9411764705882353,0.014925373134328358,0.001996007984031936,0.9580978517065957,1042.08
1743960307.9697242,33,1/25,60/1,450/1,0.9615384615384616,0.01639344262295082,0.0022172949002217295,0.9801491990616341,1019.26
