timestamp,num,Brentford,Draw,Chelsea,Brentford (decimal),Draw (decimal),Chelsea (decimal),total_probability,minimum_return_1000_GBP
1743945061.279809,0,41/20,13/5,29/20,0.32786885245901637,0.2777777777777778,0.40816326530612246,1.0138098955429167,986.36
1743945092.435331,1,41/20,13/5,29/20,0.32786885245901637,0.2777777777777778,0.40816326530612246,1.0138098955429167,986.36
1743945124.274865,2,41/20,13/5,29/20,0.32786885245901637,0.2777777777777778,0.40816326530612246,1.0138098955429167,986.36
1743945157.07629,3,41/20,13/5,29/20,0.32786885245901637,0.2777777777777778,0.40816326530612246,1.0138098955429167,986.36
1743945205.2789974,4,41/20,13/5,29/20,0.32786885245901637,0.2777777777777778,0.40816326530612246,1.0138098955429167,986.36
1743945234.2047975,5,41/20,13/5,29/20,0.32786885245901637,0.2777777777777778,0.40816326530612246,1.0138098955429167,986.36
1743945263.5630252,6,41/20,28/11,16/11,0.32786885245901637,0.28205128205128205,0.4074074074074074,1.017327541917706,982.95
1743945292.1873274,7,41/20,28/11,16/11,0.32786885245901637,0.28205128205128205,0.4074074074074074,1.017327541917706,982.95
1743945320.6487403,8,41/20,28/11,16/11,0.32786885245901637,0.28205128205128205,0.4074074074074074,1.017327541917706,982.95
1743945348.462869,9,41/20,28/11,16/11,0.32786885245901637,0.28205128205128205,0.4074074074074074,1.017327541917706,982.95
1743945376.496331,10,41/20,28/11,16/11,0.32786885245901637,0.28205128205128205,0.4074074074074074,1.017327541917706,982.95
1743945405.338719,11,41/20,28/11,16/11,0.32786885245901637,0.28205128205128205,0.4074074074074074,1.017327541917706,982.95
1743945433.2131548,12,41/20,28/11,16/11,0.32786885245901637,0.28205128205128205,0.4074074074074074,1.017327541917706,982.95
1743945462.3489623,13,41/20,5/2,16/11,0.32786885245901637,0.2857142857142857,0.4074074074074074,1.0209905455807096,979.44
1743945490.268028,14,41/20,5/2,16/11,0.32786885245901637,0.2857142857142857,0.4074074074074074,1.0209905455807096,979.44
1743945518.9960134,15,41/20,5/2,16/11,0.32786885245901637,0.2857142857142857,0.4074074074074074,1.0209905455807096,979.44
1743945547.0457966,16,21/10,5/2,16/11,0.3225806451612903,0.2857142857142857,0.4074074074074074,1.0157023382829835,984.53
1743945575.7864964,17,21/10,5/2,16/11,0.3225806451612903,0.2857142857142857,0.4074074074074074,1.0157023382829835,984.53
1743945605.025711,18,21/10,5/2,29/20,0.3225806451612903,0.2857142857142857,0.40816326530612246,1.0164581961816985,983.8
1743945690.718309,19,21/10,12/5,6/4,0.3225806451612903,0.29411764705882354,0.4,1.0166982922201138,983.57
